job_list_id,Company,Title,Link,Job,Location
52,(주)엔디소프트,"개발자,AI/데이터 신입/경력. 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49655852,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",부산 해운대구
53,(주)엔디소프트,"개발자,AI/데이터 신입/경력 모집 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49655868,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",서울 강남구
54,상상스토리(주),상상스토리(주) 2025년 상반기 신입 공개 채용 공고 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49646313,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",서울 구로구
55,(주)스쿨버스,스쿨버스 백엔드 개발자 / 플로터 Flutter 개발자 채용(경력1년) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49425574,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",서울 강서구
56,(주)에이아이매틱스,연구개발(펌웨어/ CAN분석) 개발자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49623348,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, 웹마스터",경기 성남시 분당구 외
57,(주)토마토시스템,[(주)토마토시스템] 모바일 개발자 채용(경력) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49629061,"기술지원, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발",서울 강남구
58,(주)에이아이매틱스,연구개발(알고리즘개발) 담당자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49568758,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 웹개발, 웹마스터",경기 성남시 분당구 외
59,(주)스포티비,[SPOTV] 서비스기획 담당자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49618679,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",서울 마포구
60,(주)엑스큐어넷,IT 보안솔루션 개발자 채용(Content Filter) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49606926,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발",서울 은평구
61,딱플(주),[딱플] 개발팀 퍼블리셔 경력자 모십니다. 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49497316,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터",충남 천안시 서북구
62,(주)스마트마켓서비스,웹 전문 개발자 모집합니다 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49590008,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",서울 구로구
63,(주)데일리앤코,"[클럭, 몽제] 디자인그룹 웹퍼블리셔 부문 추가 채용 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49573489,"백엔드/서버개발, 앱개발, 웹개발, 웹마스터, 유지보수",서울 송파구
64,(주)한국지에스티,2024년도 개발자(경력) 채용 공고 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49569946,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",서울 광진구
65,(주)토마토시스템,[(주)토마토시스템] 분석/설계 및 개발자 채용(경력) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49568500,"기술지원, 데이터분석가, 백엔드/서버개발, 앱개발, 웹개발",서울 강남구
66,(주)누리어시스템,"[금융SI, SM] Java, JSP 웹 개발자를 모십니다. 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49559958,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",경기 하남시 외
67,아우토크립트(주),아우토크립트 인재풀 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49536642,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 보안컨설팅, 앱개발",서울 영등포구
68,유한책임회사앤서스랩코리아,[외국계/게임사]게임 개발자 모집(Developer) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49541202,"게임개발, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",서울 강남구
69,(주)온택트헬스,윈도우 애플리케이션 개발자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49324582,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",서울 서대문구
70,(주)이노그리드,(주)이노그리드 D.Tech센터 web3 개발팀(백엔드) 경력직 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49524043,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발",서울 중구 외
71,(주)앤씨앤,"[앤씨앤/넥스트칩] 2024년 12월 연구소, 영업마케팅 각 부문 모집 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49488636,"데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발, 유지보수",경기 성남시 분당구 외
72,(주)헥토이노베이션,헥토이노베이션 직군별 인재 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49506813,"데이터분석가, 백엔드/서버개발, 앱개발, 웹개발, 웹마스터",서울 강남구 외
73,(주)케이씨넷,[KCNET] 관세청 프로그램 개발자 계약직 모집[대전] 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49504812,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 프론트엔드",대전 서구 외
74,한국폴리텍대학 광명융합기술교육원,데이터분석/바이오/설계/AR/VR/전기 취업연계 교육생 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49188717,"기술지원, 데이터분석가, 데이터엔지니어, 백엔드/서버개발, 앱개발",경기전체 외
75,(주)스카이오토넷,(주)스카이오토넷 - 영상처리 개발자(병역특례가능) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49356314,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안",서울 서초구 외
76,(주)스카이오토넷,자율주행S/W 개발자 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49438952,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안",서울 서초구 외
77,(주)데이터마케팅코리아,(주)데이터마케팅코리아 데이터 엔지니어링 직무 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49373556,"데이터엔지니어, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",서울 강남구
78,주식회사오프리메드,2025년 (주)오프리메드 상반기 프론트엔드 개발자 공개채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49663279,"기술지원, 데이터분석가, 데이터엔지니어, 앱개발, 웹개발",경기 수원시 영통구
79,(주)엔디소프트,"PM,QA/TEST 신입/경력. 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49655823,"앱개발, 웹개발, 프론트엔드, QA/테스터, 딥러닝",부산 해운대구
80,(주)엔디소프트,"PM,QA/TEST 신입/경력 모집 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49655881,"앱개발, 웹개발, 프론트엔드, QA/테스터, 딥러닝",서울 강남구
81,(주)엠투피아이,PHP 웹개발자 채용 (경력 3~5년) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49660231,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA",서울 성동구 외
82,(주)엠투피아이,PHP 웹개발자 채용 (경력 6~8년) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49660226,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA",서울 성동구 외
83,망고카(주),[망고카] 플랫폼 개발 팀장 경력 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49660147,"백엔드/서버개발, 웹개발, 웹마스터, 프론트엔드, DBA",서울 영등포구
84,디포커스(주),"웹개발자 (C#, Java) 신입 / 경력 정규직 채용 (서울 본사 상주) 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49659539,"백엔드/서버개발, 웹개발, 프론트엔드, 클라우드, ASP.NET",서울 성동구
85,한국가이던스,열정과 소통능력이 좋은 풀스택 개발자(지원자 수시 확인중) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49648934,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드",대구 달서구 외
86,(주)누리미디어,[개발운영] 네이티브 앱 개발자 (경력) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49636667,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 머신러닝",서울 마포구
87,(주)아이커넥트,[백엔드/프론트엔드 개발] (주)아이커넥트 웹개발자 채용 공고 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49593981,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 클라우드",대구 북구
88,(주)셀버스,[셀버스] FrontEnd/BackEnd 개발 및 유지보수 개발자 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49370294,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, SI개발",서울 중구
89,(주)지냄,백엔드 개발자 채용 [7~10년] 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49628049,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라",부산전체 외
90,(주)아이넵,풀스택 개발자 모집[계약직] 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49630350,"데이터분석가, 백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드",서울 성동구 외
91,주식회사 패스트뷰,프론트엔드 개발자 (3년 이상) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49625580,"백엔드/서버개발, 앱개발, 웹개발, 퍼블리셔, 프론트엔드",서울 강남구 외
92,주식회사 패스트뷰,시니어 풀스택 엔지니어 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49625596,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, ECMAScript",서울 강남구 외
93,(주)지냄,백엔드 개발자 채용 [4~6년] 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49628055,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 인프라",부산전체 외
94,(주)엔미디어플랫폼,window application 개발 엔지니어 인재모집 (4~8년) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49626613,"백엔드/서버개발, 웹개발, 프론트엔드, C++, C언어",서울전체 외
95,(주)아이넵,풀스택 개발자 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49630346,"데이터분석가, 백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드",서울 성동구 외
96,아타드(주),"[VPN] 백엔드, 서버 개발자 채용 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49626413,"백엔드/서버개발, 웹개발, 프론트엔드, SE(시스템엔지니어), 네트워크",서울 강남구 외
97,(주)엔미디어플랫폼,window application 개발 엔지니어 인재모집 (1~3년) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49626603,"백엔드/서버개발, 웹개발, 프론트엔드, C++, C언어",서울전체 외
98,(주)엔미디어플랫폼,window application 개발 엔지니어 인재모집 (신입) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49626610,"백엔드/서버개발, 웹개발, 프론트엔드, C++, C언어",서울전체 외
99,(주)위버케어,프론트엔드 개발자 (병역특례 가능) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49618887,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, Android",서울 강남구 외
100,(주)덴컴,백엔드 개발자 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49622638,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",서울 강남구 외
101,(주)중독컴퍼니,[카페인중독]본사 앱 풀스택 개발자 모집(무료구내식당) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49535063,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 정보보안",서울 강남구
102,한국모바일인증(주),한국모바일인증(주) IT개발 및 운영 정규직 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49526283,"백엔드/서버개발, 앱개발, 웹개발, 정보보안, 프론트엔드",서울 구로구
103,(주)바이오바이츠,풀스택 웹/앱 개발자 (Full-Stack Web/App Developer) 채용 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49628386,"백엔드/서버개발, 앱개발, 웹개발, SI개발, 메뉴개발",강원 원주시
104,크리스피드(주),"2025년 1기 Web개발, Java 신입사원 채용 스크랩",/zf_user/jobs/relay/view?view_type=list&rec_idx=49628221,"기술지원, 백엔드/서버개발, 웹개발, 유지보수, 프론트엔드",서울 송파구
105,커네팅,2024 하반기 웹(PHP) 및 앱(안드로이드/iOS) 개발자 경력직 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49627063,"백엔드/서버개발, 앱개발, 웹개발, 유지보수, 퍼블리셔",부산 남구
106,주식회사아이피미디어그룹,IP 거래소 개발자 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49620175,"기술지원, 백엔드/서버개발, 앱개발, 웹개발, 유지보수",서울 강남구
107,범호아이티(주),(신입/경력) 대구 열정가득 풀스택 개발자 모집합니다 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49550461,"백엔드/서버개발, 앱개발, 웹개발, 프론트엔드, 솔루션",대구 동구
108,(주)메디오피아테크,(일본어가능) Java Web 경력 사원 채용 [경력3~5년] 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49612658,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA",서울 강남구 외
109,(주)메디오피아테크,(일본어가능) Java Web 경력 사원 채용 [경력6~8년] 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49612662,"백엔드/서버개발, 웹개발, 퍼블리셔, 프론트엔드, DBA",서울 강남구 외
110,넛지헬스케어(주),[병역특례] 안드로이드개발 산업기능요원 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49611995,"앱개발, 웹개발, 프론트엔드, Android, Git",서울 강남구 외
111,(주)스튜디오갈릴레이,[스튜디오 G] 백엔드 개발자 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49533145,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, SE(시스템엔지니어)",경기전체 외
112,(주)비바이노베이션,[착한의사] 개발팀 (팀장급) 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49532559,"백엔드/서버개발, 웹개발, 프론트엔드, ECMAScript, Javascript",서울 강남구 외
113,(주)유디아이디,임대형 쇼핑몰서비스 PHP 개발자 모집 스크랩,/zf_user/jobs/relay/view?view_type=list&rec_idx=49525182,"백엔드/서버개발, 웹개발, 프론트엔드, DBA, ECMAScript",서울전체 외
