course_id,auth,academy_name,region,course_name,start_date,end_date,tr_date,total_hour,employment_rate,price_total,self_payment
880,우수훈련기관 5년 인증,센텀직업전문학교,부산 해운대구,실버케어 디지털 인력양성을 위한 ICT 융합과정(AI/3D영상콘텐츠),20250311,20250717,90,720,해당없음,6196320,0
881,우수훈련기관 5년 인증,하이미디어컴퓨터디자인학원,경기 고양시 일산동구,[일반고] Figma활용 UI/UX웹디자인(웹퍼블리셔)+웹디자인기능사,20250311,20251231,182,1232,54.5,8343020,0
882,훈련기관 3년 인증,코리아아이티(IT)아카데미학원,인천 부평구,자바(JAVA) 기반 백엔드 개발자 양성과정,20250312,20250509,40,280,63.2,1853600,463400
883,우수훈련기관 5년 인증,동성인재개발교육원,부산 부산진구,"AI기반 스마트융합(JAVA, PYTHON) 풀스택 개발자 양성",20250312,20250909,123,980,67.9,9287460,0
884,우수훈련기관 5년 인증,에이치아카데미 D&D교육센터,서울 서대문구,스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(React.js) B,20250312,20250821,113,900,46.5,6561000,0
885,우수훈련기관 5년 인증,에이치아카데미 D&D교육센터,서울 서대문구,"스마트 웹콘텐츠 UI/UX 디자인 & 퍼블리셔 (피그마, Figma) B",20250312,20250812,107,850,46.5,6196500,0
886,우수훈련기관 5년 인증,그린컴퓨터아트학원,대구 중구,"심화_기업요구 데이터베이스, SQL 성능 개선을 위한 프로젝트 실습과정",20250313,20250527,51,201,72.5,2935800,0
887,우수훈련기관 5년 인증,아이티윌 부산교육센터,부산 부산진구,AWS 클라우드 기반 자바 스프링 백엔드 개발자,20250313,20250905,120,960,51.1,9097920,0
888,훈련기관 3년 인증,코리아아이티(IT)아카데미학원,부산 부산진구,디지털 트윈 활용 독거노인 헬스케어 실시간 모니터링 솔루션,20250313,20250723,90,720,해당없음,6196320,0
889,우수훈련기관 5년 인증,(재)부산인재개발원 부산IT교육센터,부산 부산진구,(디지털컨버전스)스프링(Spring) 백엔드 개발&AWS 배포(A),20250313,20250905,123,900,72.8,6561000,0
890,우수훈련기관 5년 인증,그린컴퓨터아카데미 신촌,서울 마포구,[스마트웹&콘텐츠개발] UI/UX 웹퍼블리셔 프론트개발 웹디자인&코딩 기획부터 포트폴리오 취업대비 B,20250313,20250903,119,950,70,6925500,0
891,훈련기관 3년 인증,세종직업능력개발원,서울 금천구,리액트(React)_프론트엔드 개발자,20250315,20250412,5,40,해당없음,264800,92680
892,,한국소프트웨어교육원,경기 성남시 분당구,Java 기반 클라우드 웹 서비스 개발자 양성과정,20250317,20250813,100,800,해당없음,7581600,0
893,우수훈련기관 5년 인증,한국기술교육직업전문학교,부산 동래구,빅데이터 기반 자바(JAVA) 실무 프로젝트 개발자,20250317,20250903,119,900,50,8529300,0
894,우수훈련기관 5년 인증,쌍용강북교육센터,서울 마포구,(스마트웹&콘텐츠개발)Flutter Framework 기반 Java Full-Stack개발자 양성과정(B),20250317,20250902,118,944,69.3,6881760,0
895,우수훈련기관 5년 인증,에이콘아카데미(강남),서울 강남구,JAVA를 활용한 클라우드 현업 멘토 스쿨,20250318,20250902,120,960,59.5,9113280,0
896,우수훈련기관 5년 인증,중앙능력개발원,대전 서구,클라우드기반 풀스텍 개발과 빅데이터 분석 서비스 구현을 위한 전문가 양성과정,20250318,20250909,120,960,해당없음,8261760,0
897,우수훈련기관 5년 인증,(주)엠아이티능력개발원,경기 수원시 영통구,자바(Java) 프로그래밍 기초,20250318,20250422,16,48,해당없음,317760,111220
898,우수훈련기관 5년 인증,중앙능력개발원,대전 서구,풀 스택 SW 엔지니어링&디지털 트랜스포메이션 과정,20250318,20250909,120,960,해당없음,8261760,0
899,우수훈련기관 5년 인증,하이미디어아카데미인재개발원,서울 종로구,"[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",20250318,20250902,118,940,51,8908380,0
900,우수훈련기관 5년 인증,KH정보교육원 부산지원,부산 부산진구,(디지털컨버전스)python(파이썬)/Java(자바)Spring/(스프링)임베디드융합개발자,20250318,20250827,113,900,해당없음,6561000,0
901,우수훈련기관 5년 인증,그린컴퓨터아카데미 부산,부산 부산진구,"[스마트웹&콘텐츠개발]UI/UX & 프론트엔드(반응형웹,피그마,리엑트,SQL)개발자 양성 A",20250318,20250904,119,950,68.4,6925500,0
902,우수훈련기관 5년 인증,이지디자인컴퓨터학원,충북 청주시 서원구,[디지털디자인]반응형웹디자인(UI/UX) 및 웹퍼블리셔 취업과정,20250318,20250724,90,720,63.6,5248800,0
903,우수훈련기관 5년 인증,고려IT직업전문학교,경기 수원시 팔달구,(일반고특화)스마트문화앱콘텐츠제작자양성과정(웹디자인개발기능사),20250318,20251230,182,1292,해당없음,8865670,0
904,우수훈련기관 5년 인증,주식회사경일게임아이티아카데미,서울 강동구,[기업연계]언리얼 엔진을 활용한 게임 개발자 부트캠프,20250319,20251111,160,1280,66.3,12151040,0
905,우수훈련기관 5년 인증,한국ICT인재개발원,서울 서초구,클라우드환경 패스워드리스 보안 AI 웹개발자 양성,20250320,20250925,132,1054,85.5,10005620,0
906,우수훈련기관 5년 인증,그린컴퓨터아카데미 부산,부산 부산진구,[자바스크립트] 웹코딩을 위한 Javascript+Jquery 입문 과정,20250320,20250422,13,39,77.3,258180,64550
907,,(주)에스엠유니버스,서울 강남구,(콘텐츠 테크놀러지 2과정) 차세대 가상 엔터테인먼트 콘텐츠 엔지니어 양성과정,20250320,20250923,130,1040,해당없음,18876000,0
908,우수훈련기관 5년 인증,하이컴퓨터그래픽전산회계학원,경기 안산시 단원구,파이썬(Phython) 기초&생성형 AI,20250322,20250531,10,60,44.4,397200,139020
909,우수훈련기관 5년 인증,(주)휴먼교육센터,충남 천안시 동남구,JAVA(자바)활용 스마트팩토리 MES 웹 솔루션 개발자,20250324,20250910,119,950,77.5,9003150,0
910,훈련기관 3년 인증,경영기술개발원교육센터주식회사,서울 구로구,클라우드활용 자바 풀스택개발자,20250324,20250902,113,904,해당없음,8581670,0
911,우수훈련기관 5년 인증,역삼 그린컴퓨터아카데미,서울 강남구,"비전공자를 위한 웹코딩 입문 웹퍼블리셔&웹디자인(HTML5,CSS3)",20250324,20250507,13,39,해당없음,258180,90370
912,우수훈련기관 5년 인증,이젠컴퓨터학원,경기 고양시 일산동구,Full stack(풀스택)개발자 with react&node.js - B,20250324,20250901,113,900,30,6561000,0
913,"우수훈련기관,BHA 5년 인증",경북산업직업전문학교,대구 동구,클라우드 시스템 운영관리자,20250325,20251028,144,1000,63,9493000,0
914,우수훈련기관 5년 인증,대한상공회의소 서울기술교육센터,서울 강서구,AI 시스템반도체 설계,20250325,20251028,141,980,95.2,17787000,0
915,우수훈련기관 5년 인증,(주)엠아이티능력개발원,경기 수원시 영통구,정보처리(산업)기사 필기,20250325,20250508,24,72,해당없음,476640,166830
916,우수훈련기관 5년 인증,그린컴퓨터아트학원,전북 전주시 완산구,"웹퍼블리셔&웹디자인(HTML5,CSS3,자바스크립트,제이쿼리)",20250325,20250605,20,60,64.6,397200,99300
917,우수훈련기관 5년 인증,주식회사 로켓부스트,서울 성동구,머신러닝 API를 활용한 AI 지능형 웹앱 서비스 개발자 양성,20250325,20250929,130,1040,55.2,9856080,0
918,우수훈련기관 5년 인증,코리아IT아카데미,서울 강남구,(AI 활용 소프트웨어 개발 및 응용)AI 활용 소프트웨어 개발 및 응용과정B,20250325,20250915,119,940,75.5,6852600,0
919,훈련기관 3년 인증,코리아아이티(IT)아카데미학원,대전 서구,(디지털컨버전스) 공공데이터 융합 풀스택 개발자 양성과정,20250325,20250901,110,880,해당없음,6415200,0
920,훈련기관 3년 인증,더조은컴퓨터아트학원,경기 고양시 일산동구,자바(Java)기초 프로그래밍,20250327,20250522,15,45,해당없음,297900,104270
921,훈련기관 3년 인증,더조은컴퓨터아트학원,경기 고양시 일산동구,파이썬프로그래밍(GPT활용&데이터분석시각화),20250327,20250610,20,60,해당없음,397200,139020
922,훈련기관 3년 인증,윤성컴퓨터디자인DX아카데미,대구 중구,AWS 활용 자바 풀스택 개발자 양성,20250327,20250923,125,1000,해당없음,9477000,0
923,훈련기관 3년 인증,(주)나눔디지털디자인학원,서울 구로구,[일반고특화] 웹&앱 프론트엔드 개발(웹디자인개발기능사 자격취득) 및 크리에이티브 영상편집 전문가 양성,20250327,20260110,162,1293,66.7,8794290,0
924,우수훈련기관 5년 인증,센텀직업전문학교,부산 해운대구,"헬스케어 웹콘텐츠 구축 전문가 양성과정(블렌더,피그마,언리얼)",20250328,20250805,90,720,해당없음,6196320,0
925,우수훈련기관 5년 인증,이젠아카데미DX교육센터,서울 서초구,"SQL 개발자 국가공인 자격증(SQLD, 데이터자격시험)",20250329,20250517,8,60,50,397200,139020
926,우수훈련기관 5년 인증,그린컴퓨터아트학원,대구 중구,기업요구 프로젝트 중심 MSA기반 자바 풀스택 (클라우드 활용) 개발자 양성과정,20250331,20251113,153,1060,72.5,10062580,0
927,우수훈련기관 5년 인증,성남 그린컴퓨터아카데미,경기 성남시 분당구,UI 디자인을 위한 포토샵 & 일러스트레이터,20250331,20250425,20,80,해당없음,529600,185360
928,,(주)신세계아이앤씨,서울 중구,클라우드 엔지니어 양성과정,20250331,20250922,115,920,52.3,16698000,0
929,우수훈련기관 5년 인증,노원그린컴퓨터아카데미,서울 노원구,AWS기반 스마트오더(Rabbit MQ_양방향 메세징시스템)자바풀스택 웹개발자 양성과정,20250401,20251107,150,1200,64,11391600,0
930,우수훈련기관 5년 인증,이젠컴퓨터아트학원,경기 의정부시,스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(React.js) B,20250401,20250910,113,900,56.9,6561000,0
931,훈련기관 3년 인증,DW아카데미학원,대전 중구,(스마트웹&콘텐츠개발)전자정부표준 프레임워크 기반 풀스택 개발,20250403,20250924,119,950,78.7,6925500,0
932,훈련기관 3년 인증,비트교육센터,서울 서초구,(산대특)_AWS 솔루션스 아키텍트(Associate) 향상과정_육성,20250405,20250426,4,28,해당없음,240960,0
933,"우수훈련기관,BHA 5년 인증",구디아카데미,서울 금천구,(산대특)_클라우드(AWS) 보안 실무_육성,20250405,20250413,4,32,해당없음,442720,0
934,우수훈련기관 5년 인증,글로벌ICT직업전문학교,전남 순천시,웹디자인 & GTQ 1급(포토샵+일러스트) 자격증 취득,20250407,20250522,30,150,해당없음,993000,347550
935,훈련기관 3년 인증,케이지에듀원 아이티뱅크종로학원,서울 종로구,[K-디지털] AI와 블록체인 기반 핀테크 서비스 개발자 양성,20250407,20251017,125,1000,48.1,9493000,0
936,훈련기관 3년 인증,서울IT교육센터직업전문학교,경남 진주시,(디지털컨버전스)임베디드융합자바SW개발전문가양성과정,20250407,20250829,100,700,50,5103000,0
937,우수훈련기관 5년 인증,그린컴퓨터아카데미 부산,부산 부산진구,[한번에 취득하는] 정보처리기사 필기 자격증 취득과정,20250409,20250509,13,39,77.3,258180,64550
938,훈련기관 3년 인증,엠비씨(MBC)아카데미 컴퓨터교육센터 본점,서울 종로구,JAVA와 Python을 활용한 RPA & LowCode 웹기반 빅데이터분석 전문가 양성,20250410,20251014,125,1000,80,9477000,0
939,우수훈련기관 5년 인증,에이콘아카데미(강남),서울 강남구,콘텐츠 융합을 위한 자바(JAVA)기반  Full Stack 개발자 양성과정,20250410,20250924,120,960,59.5,9097920,0
940,우수훈련기관 5년 인증,그린컴퓨터아트학원,전북 전주시 완산구,정보처리산업기사 자격 취득과정(실기),20250412,20250531,8,39,64.6,258180,64550
941,훈련기관 3년 인증,한국IT교육원,대구 동구,기업맞춤 프론트엔드 웹디자인,20250414,20251017,125,960,50,9097920,0
942,우수훈련기관 5년 인증,그린컴퓨터아트학원,대구 중구,"(스마트웹&콘텐츠개발) 프론트엔드 개발자(자바스크립트,리엑트) A",20250415,20251017,124,950,72.5,6925500,0
943,우수훈련기관 5년 인증,이젠아카데미DX교육센터,서울 서초구,피그마(Figma) UIUX 모바일 웹&앱 디자인,20250419,20250524,6,39,50,258180,90370
944,우수훈련기관 5년 인증,한국기술교육직업전문학교,부산 동래구,AI(ChatGPT)와 금융 서비스(핀테크) 기반 자바(JAVA) 프로젝트 개발자,20250421,20251020,122,940,50,7537860,0
945,우수훈련기관 5년 인증,그린컴퓨터아카데미 부산,부산 부산진구,"[스마트웹&콘텐츠개발]UI/UX & 프론트엔드(반응형웹,피그마,리엑트,SQL)개발자 양성 B",20250421,20251015,119,950,68.4,6925500,0
946,우수훈련기관 5년 인증,한국소프트웨어인재개발원,서울 금천구,[스마트웹콘텐츠]프론트엔드구현 및 백엔드개발을 위한 풀스택 인재양성,20250422,20251016,119,950,79.6,6925500,0
947,우수훈련기관 5년 인증,쌍용강북교육센터,서울 마포구,(스마트웹&콘텐츠개발)Flutter Framework 기반 Java Full-Stack개발자 양성과정(E),20250425,20251021,118,944,69.3,6881760,0
948,훈련기관 3년 인증,한국ICT인재개발원 성수센터,서울 성동구,클라우드 기반 자바&스프링 개발자 과정,20250428,20251023,120,960,65.5,9097920,0
949,훈련기관 3년 인증,한국IT교육원,대구 동구,융합_메티컬 AI with 스마트웰니스,20250429,20251118,138,1100,50,10442300,0
950,우수훈련기관 5년 인증,코리아아이티(IT)아카데미학원,서울 마포구,(스마트웹&콘텐츠개발) 미래를 디자인하는 UI/UX 스마트콘텐츠 응용 개발 과정A,20250507,20251030,119,950,80.2,6925500,0
